Question,Type,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
"39. You are configuring a new VPC for one of your clients for a cloud migration project, and only a public VPN will be in place. After you created your VPC, you created a new subnet, a new internet gateway, and attached your internet gateway to your VPC. When you launched your first instance into your VPC, you realized that you aren't able to connect to the instance, even if it is configured with an elastic IP. What should be done to access the instance?",Single Answer,A route should be created as 0.0.0.0/0 and your internet gateway as target.,Attach another ENI to the instance and connect via new EN.,A NAT instance should be created and all traffic should be forwarded to NAT instance.,A NACL should be created that allows all outbound traffic.,,
"40. You have been asked to build a database warehouse using Amazon Redshift. You know a little about it, including that it is a SQL data warehouse solution, and uses industry standard ODBC and JDBCconnections and PostgreSQL drivers. However you are not sure about what sort of storage it uses for database tables. What sort of storage does Amazon Redshift use for database tables?",Single Answer,InnoDB Tables.,NDB data storage.,Columnar data storage.,NDB CLUSTER Storage.,,
41. A user has attached 1 EBS volume to a VPC instance. The user wants to achieve the best fault tolerance of data possible. Which of the below mentioned options can help achieve fault tolerance?,Single Answer,Attach one more volume with RAID 1 configuration.,Attach one more volume with RAID 0 configuration.,Connect multiple volumes and stripe them with RAI.,Use the EBS volume as a root device.,,
42. Which features can be used to restrict access to data in S3? (Choose 2 answers),Multiple Answers (Checkbox),Set an S3 ACL on the bucket or the object.,Create a CloudFront distribution for the bucket.,Set an S3 bucket policy.,Enable IAM Identity Federation.,Use S3 Virtual l Hosting.,
"43. You are in the process of creating a Route 53 DNS failover to direct traffic to two EC2 zones. Obviously, if one fails, you would like Route 53 to direct traffic to the other region. Each region has an ELB with some instances being distributed. What is the best way for you to configure the Route 53 health check?",Single Answer,Route 53 doesn't support ELB with an internal health check.You need to create your own Route 53 health check of the ELB.,Route 53 natively supports ELB with an internal health check. Turn 'Evaluate target health' off and 'Associate with Health Check' on and R53 will use the ELB's internal health check.,Route 53 doesn't support ELB with an internal health check. You need to associate your resource record set for the ELB with your own health check.,Route 53 natively supports ELB with an internal health check. Turn 'Evaluate target health' on and 'Associate with Health Check' off and R53 will use the ELB's internal health check.,,
"44. For each DB Instance class, what is the maximum size of associated storage capacity?",Single Answer,5GB.,1TB.,2TB.,500GB.,,
45. A user is planning a highly available application deployment with EC2. Which of the below mentioned options will not help to achieve HA?,Single Answer,Elastic IP address.,PIOPS.,AMI.,Availability Zones.,,
46. What does specifying the mapping /dev/sdc=none when launching an instance do?,Single Answer,Prevents /dev/sdc from creating the instance.,Prevents /dev/sdc from deleting the instance.,Set the value of /dev/sdc to 'zero'.,Prevents /dev/sdc from attaching to the instance.,,
47. Which of the following statements is true of tagging an Amazon EC2 resource?,Single Answer,You don't need to specify the resource identifier while terminating a resource.,"You can terminate, stop, or delete a resource based solely on its tags.","You can't terminate, stop, or delete a resource based solely on its tags.",You don't need to specify the resource identifier while stopping a resource.,,
"48. You are deploying an application to collect votes for a very popular television show. Millions of users will submit votes using mobile devices. The votes must be collected into a durable, scalable, and highly available data store for real-time public tabulation. Which service should you use?",Single Answer,Amazon DynamoDB.,Amazon Redshift.,Amazon Kinesis.,Amazon Simple Queue Service.,,
49. Are Reserved Instances available for Multi-AZ Deployments?,Single Answer,Only for Cluster Compute instances.,Yes for all instance types.,Only for M3 instance types.,No.,,
50. A [...] for a VPC is a collection of subnets (typically private) that you may want to designate for your backend RDS DB Instances.,Single Answer,DB Subnet Set.,RDS Subnet Group.,DB Subnet Group.,DB Subnet Collection.,,
51. An instance is launched into a VPC subnet with the network ACL configured to al low all inbound traffic and deny all outbound traffic. The instance's security group is configured to allow SSH from any IPaddress and deny all outbound traffic. What changes need to be made to allow SSH access to the instance?,Single Answer,The out bound security group needs to be modified to allow out bound traffic.,The outbound network ACL needs to be modified to allow outbound traffic.,"Nothing, it can be accessed from any IP address using SS.",Both the outbound security group and outbound network ACL need to be modified to allow outbound traffic.,,
52. You can modify the backup retention period; valid values are 0 (for no backup retention) to a maximum of [...] days.,Single Answer,45.,35.,15.,5.,,
"53. To serve Web traffic for a popular product your chief financial officer and IT director have purchased 10 ml large heavy utilization Reserved Instances (RIs) evenly spread across two Availability Zones: Route 53 is used to deliver the traffic to an Elastic Load Balancer (ELB). After several months, the product grows even more popular and you need additional capacity As a result, your company purchases two C3.2xlarge medium utilization RIs You register the two c3 2xlarge instances with your ELB and quickly find that the ml large instances are at 100% of capacity and the c3 2xlarge instances have significant capacity that's unused Which option is the most cost effective and uses EC2 capacity most effectively?",Single Answer,Use a separate ELB for each instance type and distribute load to ELBs with Route 53 weighted round robin.,Configure Autoscaning group and Launch Configuration with ELB to add up to 10 more on-demand ml large instances when triggered by Cloudwatch shut off c3 2xlarge instances.,Route traffic to EC2 ml large and c3 2xlarge instances directly using Route 53 latency based routing and health checks shut off ELB.,Configure ELB with two c3 2xiarge Instances and use on-demand Autoscaling group for up to two additional c3.2xlarge instances Shut on mi .large instances.,,
54. An existing application stores sensitive information on a non-boot Amazon EBS data volume attached to an Amazon Elastic Compute Cloud instance. Which of the following approaches would protect the sensitive data on an Amazon EBS volume?,Single Answer,Upload your customer keys to AWS CloudHS.,Associate the Amazon EBS volume with AWS CloudHS.,Re-mount the Amazon EBS volume.,"Create and mount a new, encrypted Amazon EBS volume. Move the data to the new volume. Delete the old Amazon EBS volume.",Unmount the EBS volume. Toggle the encryption attribute to True. Re-mount the Amazon EBS volume.,"Snapshot the current Amazon EBS volume. Restore the snapshot to a new, encrypted Amazon EBS volume. Mount the Amazon EBS volume."
55. A user has launched one EC2 instance in the US West region. The user wants to access the RDS instance launched in the US East region from that EC2 instance. How can the user configure the access for that EC2 instance?,Single Answer,Configure the IP range of the US West region instance as the ingress security rule of RDS.,It is not possible to access RDS of the US East region from the US West region.,Open the security group of the US West region in the RDS security group's ingress rule.,Create an IAM role which has access to RDS and launch an instance in the US West region with it.,,
56. You have been asked to build AWS infrastructure for disaster recovery for your local applications and within that you should use an AWS Storage Gateway as part of the solution. Which of the following best describes the function of an AWS Storage Gateway?,Single Answer,Accelerates transferring large amounts of data between the AWS cloud and portable storage devices .,A web service that speeds up distribution of your static and dynamic web content.,Connects an on-premises software appliance with cloud-based storage to provide seamless and secure integration between your on-premises IT environment and AWS's storage infrastructure.,"Is a storage service optimized for infrequently used data, or 'cold data'.",,
"57. While creating an Amazon RDS DB, your first task is to set up a DB [...] that controls which IP address or EC2 instance can access your DB Instance.",Single Answer,security token pool.,security token.,security pool.,security group.,,
58. You need to import several hundred megabytes of data from a local Oracle database to an Amazon RDS DB instance. What does AWS recommend you use to accomplish this?,Single Answer,Oracle export/import utilities.,Oracle SQL Developer.,Oracle Data Pump.,DBMS_FILE_TRANSFER.,,
"59. In the context of AWS support, why must an EC2 instance be unreachable for 20 minutes rather than allowing customers to open tickets immediately?",Single Answer,Because most reachability issues are resolved by automated processes in less than 20 minutes.,Because all EC2 instances are unreachable for 20 minutes every day when AWS does routine maintenance.,Because all EC2 instances are unreachable for 20 minutes when first launched.,Because of all the reasons listed here.,,
60. HTTP Query-based requests are HTTP requests that use the HTTP verb GET or POST and a Query parameter named [...].,Single Answer,Action.,Value.,Reset.,Retrieve.,,
"61. A friend tells you he is being charged $100 a month to host his WordPress website, and you tell him you can move it to AWS for him and he will only pay a fraction of that, which makes him very happy. He then tells you he is being charged $50 a month for the domain, which is registered with the same people that set it up, and he asks if it's possible to move that to AWS as well. You tell him you aren't sure, but will look into it. Which of the following statements is true in regards to transferring domain names to AWS?",Single Answer,You can't transfer existing domains to AWS.,You can transfer existing domains into Amazon Route 53's management.,You can transfer existing domains via AWS Direct Connect.,You can transfer existing domains via AWS Import/Export.,,
"62. While creating the snapshots using the command line tools, which command should I be using?",Single Answer,ec2-deploy-snapshot.,ec2-fresh-snapshot.,ec2-create-snapshot.,ec2-new-snapshot.,,
"63. All Amazon EC2 instances are assigned two IP addresses at launch, out of which one can only be reached from within the Amazon EC2 network?",Single Answer,Multiple IP address.,Public IP address.,Private IP address.,Elastic IP Address.,,
"64. When an EC2 instance that is backed by an S3-based AMI is terminated, what happens to the data on the root volume?",Single Answer,Data is automatically saved as an EBS snapshot.,Data is automatically saved as an EBS volume.,Data is unavailable until the instance is restarted.,Data is automatically deleted.,,
"65. You've created your first load balancer and have registered your EC2 instances with the load balancer. Elastic Load Balancing routinely performs health checks on all the registered EC2 instances and automatically distributes all incoming requests to the DNS name of your load balancer across your registered, healthy EC2 instances. By default, the load balancer uses the [...] protocol for checking the health of your instances.",Single Answer,HTTPS.,HTTP.,ICMP.,IPv6.,,
"66. Amazon Elastic Load Balancing is used to manage traffic on a fleet of Amazon EC2 instances, distributing traffic to instances across all Availability Zones within a region. Elastic Load Balancing has all the advantages of an on-premises load balancer, plus several security benefits. Which of the following is not an advantage of ELB over an on-premise load balancer?",Single Answer,"ELB uses a four-tier, key-based architecture for encryption.","ELB offers clients a single point of contact, and can also serve as the first line of defense against attacks on your network.",ELB takes over the encryption and decryption work from the Amazon EC2 instances and manages it centrally on the load balancer.,ELB supports end-to-end traffic encryption using TLS (previously SSL) on those networks that use secure HTTP (HTTPS) connections.,,
67. A web company is looking to implement an external payment service into their highly available application deployed in a VPC Their application EC2 instances are behind a public lacing ELB Auto scaling is used to add additional instances as traffic increases under normal load the application runs 2 instances in the Auto Scaling group but at peak it can scale 3x in size. The application instances need to communicate with the payment service over the Internet which requires whitelisting of all public IP addresses used to communicate with it. A maximum of 4 whitelisting IP addresses are allowed at a time and can be added through an API. How should they architect their solution?,Multiple Answers,Route payment requests through two NAT instances setup for High Availability and whitelist the Elastic IP addresses attached to the MAT instances.,Whitelist the VPC Internet Gateway Public IP and route payment requests through the Internet Gateway.,Whitelist the ELB IP addresses and route payment requests from the Application servers through the EL.,Automatically assign public IP addresses to the application instances in the Auto Scaling group and run a script on boot that adds each instances public IP address to the payment validation whitelist AP.,,
68. You are using Amazon SES as an email solution but are unsure of what its limitations are. Which statement below is correct in regards to that?,Single Answer,"New Amazon SES users who have received production access can send up to 1,000 emails per 24-hour period, at a maximum rate of 10 emails per second.",Every Amazon SES sender has a the same set of sending limits.,Sending limits are based on messages rather than on recipients.,Every Amazon SES sender has a unique set of sending limits.,,
69. Your company is getting ready to do a major public announcement of a social media site on AWS. The website is running on EC2 instances deployed across multiple Availability Zones with a Multi-AZ RDS MySQL Extra Large DB Instance. The site performs a high number of small reads and writes per second and relies on an eventual consistency model. After comprehensive tests you discover that there is read contention on RDS MySQL. Which are the best approaches to meet these requirements? (Choose 2 answers),Multiple Answers (Checkbox),Deploy ElasticCache in-memory cache running in each Availability Zone.,Implement sharding to distribute load to multiple RDS MySQL instances.,Increase the RDS MySQL Instance size and Implement provisioned IOPS.,Add an RDS MySQL read replica in each Availability Zone.,,
70. What does a 'Domain' refer to in Amazon SWF?,Single Answer,A security group in which only tasks inside can communicate with each other.,A special type of worker.,A collection of related Workflows.,The DNS record for the Amazon SWF service.,,
"71. The SQL Server [...] feature is an efficient means of copying data from a source database to your DB Instance. It writes the data that you specify to a data file, such as an ASCII file.",Single Answer,bulk copy.,group copy.,dual copy.,mass copy.,,
72. Any person or application that interacts with AWS requires security credentials. AWS uses these credentials to identify who is making the call and whether to allow the requested access. You have just set up a VPC network for a client and you are now thinking about the best way to secure this network. You set up a security group called vpcsecuritygroup. Which following statement is true in respect to the initial settings that will be applied to this security group if you choose to use the default settings for this group?,Single Answer,Allow all inbound traffic and allow no outbound traffic.,Allow no inbound traffic and allow all outbound traffic.,Allow inbound traffic on port 80 only and allow all outbound traffic.,Allow all inbound traffic and allow all outbound traffic.,,
73. Which one of the below is not an AWS Storage Service?,Single Answer,Amazon S3.,Amazon Glacier.,Amazon CloudFront.,Amazon EBS.,,
"74. You are trying to launch an EC2 instance, however the instance seems to go into a terminated status immediately. What would probably not be a reason that this is happening?",Single Answer,The AMI is missing a required part.,The snapshot is corrupt.,You need to create storage in EBS first.,You've reached your volume limit.,,
"75. A company is building software on AWS that requires access to various AWS services. Which configuration should be used to ensure mat AWS credentials (i.e., Access Key ID/Secret Access Key combination) are not compromised?",Single Answer,Enable Multi-Factor Authentication for your AWS root account.,Assign an IAM role to the Amazon EC2 instance.,Store the AWS Access Key ID/Secret Access Key combination in software comments.,Assign an IAM user to the Amazon EC2 Instance.,,
76. Can we attach an EBS volume to more than one EC2 instance at the same time?,Single Answer,Yes.,No.,Only EC2-optimized EBS volumes.,Only in read mode.,,
"77. You need to measure the performance of your EBS volumes as they seem to be under performing. You have come up with a measurement of 1,024 KB I/O but your colleague tells you that EBS volume performance is measured in IOPS. How many IOPS is equal to 1,024 KB I/O?",Single Answer,16.,256.,8.,4.,,
"78. Your company produces customer commissioned one-of-a-kind skiing helmets combining nigh fashion with custom technical enhancements Customers can show off their Individuality on the ski slopes and have access to head-up-displays. GPS rear-view cams and any other technical innovation they wish to embed in the helmet. The current manufacturing process is data rich and complex including assessments to ensure that the custom electronics and materials used to assemble the helmets are to the highest standards Assessments are a mixture of human and automated assessments you need to add a new set of assessment to model the failure modes of the custom electronics using GPUs with CUDA, across a cluster of servers with low latency networking. What architecture would allow you to automate the existing process using a hybrid approach and ensure that the architecture can support the evolution of processes over time?",Single Answer,Use AWS Data Pipeline to manage movement of data & meta-data and assessments Use an autoscaling group of G2 instances in a placement group.,"Use Amazon Simple Workflow (SWF) to manages assessments, movement of data & meta-data Use an auto-scaling group of G2 instances in a placement group.",Use Amazon Simple Workflow (SWF) to manages assessments movement of data & meta-data Use an auto-scaling group of C3 instances with SR-IOV (Single Root 1/0 Virtualization).,Use AWS data Pipeline to manage movement of data & meta-data and assessments use autoscaling group of C3 with SR-IOV (Single Root 1/0 virtualization).,,
79. You are designing Internet connectivity for your VPC. The Web servers must be available on the Internet. The application must have a highly available architecture. Which alternatives should you consider? (Choose 2 answers),Multiple Answers (Checkbox),Configure a NAT instance in your VPC Create a default route via the NAT instance and associate it with all subnets Configure a DNS A record that points to the NAT instance public IP address.,Configure a CloudFront distribution and configure the origin to point to the private IP addresses of your Web servers Configure a Route 53 CNAME record to your CloudFront distribution.,Place all your web servers behind EL8 Configure a Route 53 CNAME to point to the ELB DNS name.,Assign EIPs to all web servers. Configure a Route 53 record set with all EIPs. With health checks and DNS failover.,Configure ELB with an EIP Place all your Web servers behind ELB Configure a Route 53 A record that points to the EIP.,
80. You need to configure an Amazon S3 bucket to serve static assets for your public-facing web application. Which methods ensure that all objects uploaded to the bucket are set to public read? (Choose 2 answers),Multiple Answers (Checkbox),Set permissions on the object to public read during upload.,Configure the bucket ACL to set all objects to public read.,Configure the bucket policy to set all objects to public read.,Use AWS Identity and Access Management roles to set the bucket to public read.,"Amazon S3 objects default to public read, so no action is needed.",
81. A major customer has asked you to set up his AWS infrastructure so that it will be easy to recover in the case of a disaster of some sort. Which of the following is important when thinking about being able to quickly launch resources in AWS to ensure business continuity in case of a disaster?,Single Answer,Create and maintain AMIs of key servers where fast recovery is required.,"Regularly run your servers, test them, and apply any software updates and configuration changes.",All items listed here are important when thinking about disaster recovery.,Ensure that you have all supporting custom software packages available in AWS.,,
"82. You are developing a new mobile application and are considering storing user preferences in AWS. This would provide a more uniform cross-device experience to users using multiple mobile devices to access the application. The preference data for each user is estimated to be SOKB in size Additionally 5 million customers are expected to use the application on a regular basis. The solution needs to be cost-effective, highly available, scalable and secure, how would you design a solution to meet the above requirements?",Multiple Answers,Setup an RDS MySQL instance in 2 Availability Zones to store the user preference data. Deploy a public facing application on a server in front of the database to manage security and access credentials.,Setup a DynamoDB table with an item for each user having the necessary attributes to hold the user preferences. The mobile application will query the user preferences directly from the DynamoDB table. Utilize ST.,"Web Identity Federation, and DynamoDB Fine Grained Access Control to authenticate and authorize access.",Setup an RDS MySQL instance with multiple read replicas in 2 Availability Zones to store the user preference data. The mobile application will query the user preferences from the read replicas. Leverage the MySQL user management and access privilege system to manage security and access credentials.,"Store the user preference data in S3 Setup a DynamoDB table with an item for each user and an item attribute pointing to the user' S3 object. The mobile application will retrieve the S3 URL from DynamoDB and then access the S3 object directly utilize STS, Web identity Federation, and S3 ACLs to authenticate and authorize access.",
"83. In the Amazon RDS which uses the SQL Server engine, what is the maximum size for a Microsoft SQL Server DB Instance with SQL Server Express edition?",Single Answer,10GB per DB.,100GB per DB.,2TB per DB.,1TB per DB.,,
84. You have deployed a web application targeting a global audience across multiple AWS Regions under the domain name.example.com. You decide to use Route 53 Latency-Based Routing to serve web requests to users from the region closest to the user. To provide business continuity in the event of server downtime you configure weighted record sets associated with two web servers in separate Availability Zones per region. Dunning a DR test you notice that when you disable all web servers in one of the regions Route 53 does not automatically direct all users to the other region. What could be happening? (Choose 2 answers),Multiple Answers (Checkbox),Latency resource record sets cannot be used in combination with weighted resource record sets.,You did not setup an HTTP health check tor one or more of the weighted resource record sets associated with me disabled web servers.,The value of the weight associated with the latency alias resource record set in the region with the disabled servers is higher than the weight for the other region.,One of the two working web servers in the other region did not pass its HTTP health check.,You did not set 'Evaluate Target Health' to 'Yes' on the latency alias resource record set associated with example com in the region where you disabled the servers.,
85. Amazon EBS provides the ability to create backups of any Amazon EC2 volume into what is known as [...].,Single Answer,snapshots.,images.,instance backups.,mirrors.,,
